Region,State,Date,Confirmed,Death
North,AC,2020-02-25,0,0
North,AC,2020-02-26,0,0
North,AC,2020-02-27,0,0
North,AC,2020-02-28,0,0
North,AC,2020-02-29,0,0
North,AC,2020-03-01,0,0
North,AC,2020-03-02,0,0
North,AC,2020-03-03,0,0
North,AC,2020-03-04,0,0
North,AC,2020-03-05,0,0
North,AC,2020-03-06,0,0
North,AC,2020-03-07,0,0
North,AC,2020-03-08,0,0
North,AC,2020-03-09,0,0
North,AC,2020-03-10,0,0
North,AC,2020-03-11,0,0
North,AC,2020-03-12,0,0
North,AC,2020-03-13,0,0
North,AC,2020-03-14,0,0
North,AC,2020-03-15,0,0
North,AC,2020-03-16,0,0
North,AC,2020-03-17,3,0
North,AC,2020-03-18,3,0
North,AC,2020-03-19,4,0
North,AC,2020-03-20,7,0
North,AC,2020-03-21,11,0
North,AC,2020-03-22,11,0
North,AC,2020-03-23,17,0
North,AC,2020-03-24,21,0
North,AC,2020-03-25,23,0
North,AC,2020-03-26,24,0
North,AC,2020-03-27,25,0
North,AC,2020-03-28,25,0
North,AC,2020-03-29,34,0
North,AC,2020-03-30,42,0
North,AC,2020-03-31,42,0
North,AC,2020-04-01,43,0
North,AC,2020-04-02,45,0
North,AC,2020-04-03,46,0
North,AC,2020-04-04,46,0
North,AC,2020-04-05,48,0
North,AC,2020-04-06,50,1
North,AC,2020-04-07,50,2
North,AC,2020-04-08,58,2
North,AC,2020-04-09,62,2
North,AC,2020-04-10,70,2
North,AC,2020-04-11,72,2
North,AC,2020-04-12,77,2
North,AC,2020-04-13,90,3
North,AC,2020-04-14,99,3
North,AC,2020-04-15,101,4
North,AC,2020-04-16,115,5
North,AC,2020-04-17,135,5
Northeast,AL,2020-02-25,0,0
Northeast,AL,2020-02-26,0,0
Northeast,AL,2020-02-27,0,0
Northeast,AL,2020-02-28,0,0
Northeast,AL,2020-02-29,0,0
Northeast,AL,2020-03-01,0,0
Northeast,AL,2020-03-02,0,0
Northeast,AL,2020-03-03,0,0
Northeast,AL,2020-03-04,0,0
Northeast,AL,2020-03-05,0,0
Northeast,AL,2020-03-06,0,0
Northeast,AL,2020-03-07,0,0
Northeast,AL,2020-03-08,0,0
Northeast,AL,2020-03-09,0,0
Northeast,AL,2020-03-10,0,0
Northeast,AL,2020-03-11,0,0
Northeast,AL,2020-03-12,0,0
Northeast,AL,2020-03-13,0,0
Northeast,AL,2020-03-14,0,0
Northeast,AL,2020-03-15,0,0
Northeast,AL,2020-03-16,1,0
Northeast,AL,2020-03-17,1,0
Northeast,AL,2020-03-18,1,0
Northeast,AL,2020-03-19,4,0
Northeast,AL,2020-03-20,6,0
Northeast,AL,2020-03-21,7,0
Northeast,AL,2020-03-22,7,0
Northeast,AL,2020-03-23,8,0
Northeast,AL,2020-03-24,10,0
Northeast,AL,2020-03-25,11,0
Northeast,AL,2020-03-26,11,0
Northeast,AL,2020-03-27,12,0
Northeast,AL,2020-03-28,14,0
Northeast,AL,2020-03-29,17,0
Northeast,AL,2020-03-30,17,0
Northeast,AL,2020-03-31,18,1
Northeast,AL,2020-04-01,18,1
Northeast,AL,2020-04-02,18,1
Northeast,AL,2020-04-03,23,2
Northeast,AL,2020-04-04,23,2
Northeast,AL,2020-04-05,28,2
Northeast,AL,2020-04-06,31,2
Northeast,AL,2020-04-07,34,2
Northeast,AL,2020-04-08,37,3
Northeast,AL,2020-04-09,37,3
Northeast,AL,2020-04-10,45,3
Northeast,AL,2020-04-11,48,3
Northeast,AL,2020-04-12,48,3
Northeast,AL,2020-04-13,58,4
Northeast,AL,2020-04-14,72,4
Northeast,AL,2020-04-15,83,5
Northeast,AL,2020-04-16,89,5
Northeast,AL,2020-04-17,110,7
North,AM,2020-02-25,0,0
North,AM,2020-02-26,0,0
North,AM,2020-02-27,0,0
North,AM,2020-02-28,0,0
North,AM,2020-02-29,0,0
North,AM,2020-03-01,0,0
North,AM,2020-03-02,0,0
North,AM,2020-03-03,0,0
North,AM,2020-03-04,0,0
North,AM,2020-03-05,0,0
North,AM,2020-03-06,0,0
North,AM,2020-03-07,0,0
North,AM,2020-03-08,0,0
North,AM,2020-03-09,0,0
North,AM,2020-03-10,0,0
North,AM,2020-03-11,0,0
North,AM,2020-03-12,0,0
North,AM,2020-03-13,1,0
North,AM,2020-03-14,1,0
North,AM,2020-03-15,1,0
North,AM,2020-03-16,1,0
North,AM,2020-03-17,2,0
North,AM,2020-03-18,2,0
